idioma,texto_entidade,tipo_entidade,contexto
en,Margaret Tate,PERSON,"in romcoms, in particular, being a confident, direct woman is vilified, whether it is the forthright book editor Margaret Tate, played by Sandra Bullock, in the proposal or Sharpay Evans, portrayed by Ashley Tisdale, the sparkly pink diva in high school musical."
en,Sandra Bullock,PERSON,"in romcoms, in particular, being a confident, direct woman is vilified, whether it is the forthright book editor Margaret Tate, played by Sandra Bullock, in the proposal or Sharpay Evans, portrayed by Ashley Tisdale, the sparkly pink diva in high school musical."
en,Sharpay Evans,PERSON,"in romcoms, in particular, being a confident, direct woman is vilified, whether it is the forthright book editor Margaret Tate, played by Sandra Bullock, in the proposal or Sharpay Evans, portrayed by Ashley Tisdale, the sparkly pink diva in high school musical."
en,Ashley Tisdale,PERSON,"in romcoms, in particular, being a confident, direct woman is vilified, whether it is the forthright book editor Margaret Tate, played by Sandra Bullock, in the proposal or Sharpay Evans, portrayed by Ashley Tisdale, the sparkly pink diva in high school musical."
en,Amy Beecham,PERSON,"for years, Amy Beecham, a stylist, was taught that the ultimate goal was being down to earth and low maintenance was the ultimate goal."
en,Shubnumkhan,PERSON,author Shubnumkhan has spent a lifetime fielding questions about why she does not have a partner.
en,the royal institute,ORG,a recent study by the royal institute of british architects highlighted research that found 80_percent of the people who use outdoor spaces and equipment for young people are male.
en,Laurence Fox,PERSON,"in 2023, a year that has already brought to light so many horrific abuses of women and girls, we have now been served yet another reminder that there are still people out there who refuse to treat us with basic respect and dignity.⁠ following a now viral on air misogynistic rant, controversial gb news presenter and political activist Laurence Fox has been formally suspended by the channel after he refused to apologise for asking who would want to shag that?"
en,air.⁠,GPE,about a female journalist live on air.⁠ this kind of casual misogyny is not  just repulsive playground talk.
en,Amy Beecham,PERSON,"according to Amy Beecham from stylist, this poses a serious threat to the safety of women."
en,Jonah Hill,PERSON,Jonah Hill and Darius Daulton Jackson have come under scrutiny for allegedly trying to control how their female partners present themselves.
en,Darius Daulton Jackson,PERSON,Jonah Hill and Darius Daulton Jackson have come under scrutiny for allegedly trying to control how their female partners present themselves.
en,Brinta Ponnuthurai,PERSON,"Brinta Ponnuthurai, known online as Brynta Ponn, has racked up more than 100,000 followers on Instagram thanks to her message of body_confidence, but that self_esteem was not always present."
en,Brynta Ponn,PERSON,"Brinta Ponnuthurai, known online as Brynta Ponn, has racked up more than 100,000 followers on Instagram thanks to her message of body_confidence, but that self_esteem was not always present."
en,Instagram,PERSON,"Brinta Ponnuthurai, known online as Brynta Ponn, has racked up more than 100,000 followers on Instagram thanks to her message of body_confidence, but that self_esteem was not always present."
en,toronto,GPE,"growing up as a south asian girl in toronto, canada, she faced judgment for her skin, which led to her experiencing deep hatred and resentment towards her appearance."
en,canada,GPE,"growing up as a south asian girl in toronto, canada, she faced judgment for her skin, which led to her experiencing deep hatred and resentment towards her appearance."
en,Cardi B,PERSON,"by now i am sure most of you would have seen or heard about the single wap  by Cardi B and Megan Thee Stallion, and probably the predictable backlash and distress it seems to have caused many cis straight men."
en,Megan Thee Stallion,ORG,"by now i am sure most of you would have seen or heard about the single wap  by Cardi B and Megan Thee Stallion, and probably the predictable backlash and distress it seems to have caused many cis straight men."
en,Ben Shapiro,PERSON,"from Ben Shapiro citing misinformation about the hygiene of women to Russel Brand mansplaining feminism, it shows how we are still very much living to the double standards and pitfalls of the patriarchy."
en,Russel Brand,ORG,"from Ben Shapiro citing misinformation about the hygiene of women to Russel Brand mansplaining feminism, it shows how we are still very much living to the double standards and pitfalls of the patriarchy."
en,⠀,PERSON,⠀
en,Angiolini,PERSON,"last week, the Angiolini inquiry report into the circumstances that led to the murder of Sarah Everard,  was published, concluding that Wayne Couzens should never have been a police officer, as her family insisted that Sarah died because he was a police officer, she would never have got into a car of a stranger.⁠ now, the new documentary of bbc Sarah Everard: the search for justice, made in close collaboration with the Everard family, delves deeper into investigating her murder by the metropolitan police, looking at how this devastating crime unfolded and the impact that was felt across the country.⁠ Amy Beecham, writes how the documentary, is a harrowing but important reflection on the extent of violence_against_women and girls in our society."
en,Sarah Everard,PERSON,"last week, the Angiolini inquiry report into the circumstances that led to the murder of Sarah Everard,  was published, concluding that Wayne Couzens should never have been a police officer, as her family insisted that Sarah died because he was a police officer, she would never have got into a car of a stranger.⁠ now, the new documentary of bbc Sarah Everard: the search for justice, made in close collaboration with the Everard family, delves deeper into investigating her murder by the metropolitan police, looking at how this devastating crime unfolded and the impact that was felt across the country.⁠ Amy Beecham, writes how the documentary, is a harrowing but important reflection on the extent of violence_against_women and girls in our society."
en,Wayne Couzens,PERSON,"last week, the Angiolini inquiry report into the circumstances that led to the murder of Sarah Everard,  was published, concluding that Wayne Couzens should never have been a police officer, as her family insisted that Sarah died because he was a police officer, she would never have got into a car of a stranger.⁠ now, the new documentary of bbc Sarah Everard: the search for justice, made in close collaboration with the Everard family, delves deeper into investigating her murder by the metropolitan police, looking at how this devastating crime unfolded and the impact that was felt across the country.⁠ Amy Beecham, writes how the documentary, is a harrowing but important reflection on the extent of violence_against_women and girls in our society."
en,Sarah,PERSON,"last week, the Angiolini inquiry report into the circumstances that led to the murder of Sarah Everard,  was published, concluding that Wayne Couzens should never have been a police officer, as her family insisted that Sarah died because he was a police officer, she would never have got into a car of a stranger.⁠ now, the new documentary of bbc Sarah Everard: the search for justice, made in close collaboration with the Everard family, delves deeper into investigating her murder by the metropolitan police, looking at how this devastating crime unfolded and the impact that was felt across the country.⁠ Amy Beecham, writes how the documentary, is a harrowing but important reflection on the extent of violence_against_women and girls in our society."
en,Sarah Everard,PERSON,"last week, the Angiolini inquiry report into the circumstances that led to the murder of Sarah Everard,  was published, concluding that Wayne Couzens should never have been a police officer, as her family insisted that Sarah died because he was a police officer, she would never have got into a car of a stranger.⁠ now, the new documentary of bbc Sarah Everard: the search for justice, made in close collaboration with the Everard family, delves deeper into investigating her murder by the metropolitan police, looking at how this devastating crime unfolded and the impact that was felt across the country.⁠ Amy Beecham, writes how the documentary, is a harrowing but important reflection on the extent of violence_against_women and girls in our society."
en,Everard,PERSON,"last week, the Angiolini inquiry report into the circumstances that led to the murder of Sarah Everard,  was published, concluding that Wayne Couzens should never have been a police officer, as her family insisted that Sarah died because he was a police officer, she would never have got into a car of a stranger.⁠ now, the new documentary of bbc Sarah Everard: the search for justice, made in close collaboration with the Everard family, delves deeper into investigating her murder by the metropolitan police, looking at how this devastating crime unfolded and the impact that was felt across the country.⁠ Amy Beecham, writes how the documentary, is a harrowing but important reflection on the extent of violence_against_women and girls in our society."
en,Amy Beecham,PERSON,"last week, the Angiolini inquiry report into the circumstances that led to the murder of Sarah Everard,  was published, concluding that Wayne Couzens should never have been a police officer, as her family insisted that Sarah died because he was a police officer, she would never have got into a car of a stranger.⁠ now, the new documentary of bbc Sarah Everard: the search for justice, made in close collaboration with the Everard family, delves deeper into investigating her murder by the metropolitan police, looking at how this devastating crime unfolded and the impact that was felt across the country.⁠ Amy Beecham, writes how the documentary, is a harrowing but important reflection on the extent of violence_against_women and girls in our society."
en,bbc,ORG,"currently, the online safety bill, which includes protections against cyberflashing and deepfakes, is on its way through parliament in a bid to change the murky laws around the way perpetrators can be prosecuted for digital crimes.⁠ in her new bbc documentary asking for it?"
en,Emily Atack,PERSON,"actor and comedian Emily Atack reveals her own experience of online sexual_harassment, which ranges from explicit images to rape threats, all while wrestling with the harmful internal narrative that it is somehow her fault."
en,dick pics,PERSON,"⁠i noticed, particularly in lockdown, that there was a huge rise in the amount of dick pics i was being sent, she says."
en,Becky Hill,PERSON,"on a historic night that should have been about what women can do, not what they look like, singer Becky Hill was the victim of body_shaming trolls.⁠ i am also sorry you think that what i was wearing devalued my talent and wanted me to be more covered up to be a role model for body_confidence to young women."
en,Hill,PERSON,"as you can read, that is an oxymoron, she said.⁠ Hill described her final show performance as one of the biggest moments of my career, adding that she will remember that moment until the day she die.⁠ it was an absolute honour to open up such an iconic and a historic moment for women in football, and perform in all my popstar glory.⁠"
en,Diana,PERSON,i have certainly found myself doing like princess Diana and trying to shrink myself around men who are shorter than me.
en,staying,PERSON,"i asked the man with learning difficulties if he was comfortable with his brother staying, and he said he was."
en,Sarah Everard,PERSON,"i felt embarrassed, uncomfortable, and in light of the recent news regarding Sarah Everard and the outpouring of stories from women who have experienced harassment and violence at the hands of men, i now feel scared and unsafe."
